Date,Open,High,Low,Close,Volume
2015-12-08,2073.39,2073.85,2052.32,2063.59,666623202
2015-12-09,2061.17,2080.33,2036.53,2047.62,719904950
2015-12-10,2047.93,2067.65,2045.67,2052.23,597997497
2015-12-11,2047.27,2047.27,2008.8,2012.37,718417683
2015-12-14,2013.37,2022.92,1993.26,2021.94,771571435
2015-12-15,2025.55,2053.87,2025.55,2043.41,689853132
2015-12-16,2046.5,2076.72,2042.43,2073.07,680651840
2015-12-17,2073.76,2076.37,2041.66,2041.89,646285876
2015-12-18,2040.81,2040.81,2005.33,2005.55,737827389
2015-12-21,2010.27,2022.9,2005.93,2021.15,610294061
2015-12-22,2023.15,2042.74,2020.49,2038.97,546862689
2015-12-23,2042.2,2064.73,2042.2,2064.29,545191292
2015-12-24,2063.52,2067.36,2058.73,2060.99,250570206
2015-12-28,2057.77,2057.77,2044.2,2056.5,367737617
2015-12-29,2060.54,2081.56,2060.54,2078.36,379027946
2015-12-30,2077.34,2077.34,2061.97,2063.36,334631231
2015-12-31,2060.59,2062.54,2043.62,2043.94,482596709
2016-01-04,2038.2,2038.2,1989.68,2012.66,802072115
2016-01-05,2013.78,2021.94,2004.17,2016.71,619260483
2016-01-06,2011.71,2011.71,1979.05,1990.26,734820348
2016-01-07,1985.32,1985.32,1938.83,1943.09,860517477
2016-01-08,1945.97,1960.4,1918.46,1922.03,800798104
2016-01-11,1926.12,1935.65,1901.1,1923.67,775646469
2016-01-12,1927.83,1947.38,1914.35,1938.68,759189614
2016-01-13,1940.34,1950.33,1886.41,1890.28,874565406
2016-01-14,1891.68,1934.47,1878.93,1921.84,920305719
2016-01-15,1916.68,1916.68,1857.83,1880.33,121200428
2016-01-19,1888.66,1901.44,1864.6,1881.33,876359950
2016-01-20,1876.18,1876.18,1812.29,1859.33,4309713
2016-01-21,1861.46,1889.85,1848.98,1868.99,853633943
2016-01-22,1877.4,1908.85,1877.4,1906.9,809147435
2016-01-25,1906.28,1906.28,1875.97,1877.08,760931974
