Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
5/16/2016,2066.66,78.6,53.58,66.09,18.68,70.08,55.73,46.74,42.8,49.45,0.98%,545
5/17/2016,2047.21,77.71,52.53,66.4,18.57,69.35,55.46,46.5,42.37,48.61,-0.94%,51
5/18/2016,2047.63,77.26,51.92,65.76,18.9,69.64,55.27,45.79,42.45,47.7,0.02%,296
5/19/2016,2040.04,77.19,52.43,65.77,18.72,69.05,54.75,45.95,42.22,48.18,-0.37%,115
5/20/2016,2052.32,77.7,52.16,66.16,18.85,69.69,55.03,46.28,42.73,48.29,0.60%,500
5/23/2016,2048.04,77.43,52.21,65.99,18.83,69.41,54.93,46.82,42.65,47.86,-0.21%,172
5/24/2016,2076.06,78.36,52.65,66.32,19.12,70.41,55.5,47.13,43.45,48.34,1.37%,576
5/25/2016,2090.54,78.79,52.73,67.37,19.32,70.85,55.88,47.71,43.75,48.2,0.70%,516
5/26/2016,2090.1,78.95,52.94,67.09,19.21,70.86,55.72,47.2,43.89,48.75,-0.02%,275
5/27/2016,2099.06,79.32,53,67.13,19.33,71.18,55.93,47.18,44.1,48.83,0.43%,456
5/31/2016,2096.96,79.24,52.66,66.87,19.29,71.35,55.92,46.94,44.19,49.15,-0.10%,229
6/1/2016,2099.33,79.19,53.2,66.89,19.33,71.61,55.97,47,44.08,49.28,0.11%,349
6/2/2016,2105.26,79.63,53.22,66.8,19.37,72.53,56.04,47.26,44.04,49.3,0.28%,418
6/3/2016,2099.13,79.11,53.56,66.54,19.09,72.29,55.99,47.66,43.94,50.08,-0.29%,141
6/6/2016,2109.41,79.31,53.62,68.01,19.21,72.68,56.52,48.15,44.02,50.01,0.49%,477
6/7/2016,2112.13,79.41,53.56,69.55,19.16,72.23,56.79,48.17,44.2,49.97,0.13%,361
6/8/2016,2119.12,79.5,53.88,69.39,19.18,72.48,57.15,48.45,44.29,50.27,0.33%,432
6/9/2016,2115.48,79.32,54.09,68.86,19.04,72.36,57.14,48.1,44.3,50.7,-0.17%,190
6/10/2016,2096.07,78.49,54.13,67.37,18.81,71.78,56.47,47.74,43.96,50.57,-0.92%,55
6/13/2016,2079.06,78.06,53.68,67.17,18.68,71.21,55.86,47.21,43.47,50.51,-0.81%,65
6/14/2016,2075.32,77.86,53.89,67.13,18.4,71.32,55.87,46.86,43.57,50.78,-0.18%,184
6/15/2016,2071.5,78.08,53.73,66.97,18.43,70.83,55.89,47.07,43.46,50.46,-0.18%,184
6/16/2016,2077.99,78.33,54.01,66.65,18.47,71.08,55.99,47.23,43.55,50.78,0.31%,426
6/17/2016,2071.22,77.93,53.47,66.89,18.36,70.06,55.73,47.2,43.05,50.55,-0.33%,125
6/20/2016,2083.25,78.63,53.64,67.47,18.47,70.5,56.24,47.47,43.23,50.36,0.58%,496
6/21/2016,2088.9,78.45,53.78,68.27,18.57,70.26,56.2,47.34,43.53,50.43,0.27%,415
6/22/2016,2085.45,78.34,53.81,67.89,18.56,70.46,56.04,47.39,43.38,50.19,-0.17%,190
6/23/2016,2113.32,79.11,54.14,69.01,18.95,71.38,56.69,48.12,43.97,50.33,1.34%,573
6/24/2016,2037.41,76.15,53.1,66.78,17.93,69.29,54.38,46.02,42.28,50.61,-3.59%,2
6/27/2016,2000.54,74.77,52.99,64.64,17.42,68.38,53.1,44.47,41.43,51.03,-1.81%,16
6/28/2016,2036.09,76.26,53.32,66.44,17.87,69.71,54,44.85,42.25,51.22,1.78%,593
6/29/2016,2070.77,77.49,53.94,67.7,18.27,71.04,54.96,45.61,42.9,51.36,1.70%,592
6/30/2016,2098.86,78.06,55.15,68.24,18.56,71.71,56.01,46.34,43.37,52.47,1.36%,575
7/1/2016,2102.95,78.87,54.89,68.6,18.47,72.16,56.19,46.36,43.47,52.48,0.19%,387
7/5/2016,2088.55,78.23,55.2,67.22,18.19,72.09,55.68,45.52,43.15,52.87,-0.68%,76
7/6/2016,2099.73,78.9,55.25,67.51,18.24,72.9,55.96,45.7,43.45,52.98,0.54%,489
7/7/2016,2097.9,79.24,55.14,66.82,18.26,72.79,56.11,45.82,43.45,52,-0.09%,237
7/8/2016,2129.9,80.62,55.69,67.71,18.61,73.69,57.23,46.96,44.13,52.54,1.53%,585
