Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Signal
ZIKA,2015-12-16,L,L,1,-0.21409914008400088,-0.21409914008400088,N
ZIKA,2015-12-17,H,L,3,1.1305520712988848,3.3916562138966544,N
ZIKA,2015-12-18,L,L,1,0.5548755474122702,0.5548755474122702,N
ZIKA,2015-12-21,L,L,1,-0.024349589604411026,-0.024349589604411026,N
ZIKA,2015-12-22,H,L,3,-0.7224018033052393,-2.167205409915718,N
ZIKA,2015-12-23,H,H,4,-0.7521862603578788,-3.0087450414315153,N
ZIKA,2015-12-24,L,H,2,0.3624705524546634,0.7249411049093268,N
ZIKA,2015-12-28,L,H,2,0.2954937159075133,0.5909874318150266,N
ZIKA,2015-12-29,H,L,3,-1.6613454184246645,-4.984036255273994,N
ZIKA,2015-12-30,L,L,1,-0.0998693375542814,-0.0998693375542814,N
ZIKA,2015-12-31,L,H,2,0.44985087929148015,0.8997017585829603,N
ZIKA,2016-01-04,H,H,4,0.7215085300794621,2.8860341203178486,N
ZIKA,2016-01-05,L,H,2,-0.40345657645426414,-0.8069131529085283,N
ZIKA,2016-01-06,H,H,4,1.3475504410346506,5.390201764138602,N
ZIKA,2016-01-07,L,L,1,0.17946162588993175,0.17946162588993175,N
ZIKA,2016-01-08,L,L,1,0.44784871668184234,0.44784871668184234,N
ZIKA,2016-01-11,H,L,3,-1.094357157146908,-3.283071471440724,N
ZIKA,2016-01-12,H,L,3,1.4425005910581046,4.327501773174314,N
ZIKA,2016-01-13,H,L,3,0.9857001127664189,2.9571003382992567,N
ZIKA,2016-01-14,H,L,3,-0.9360733008412447,-2.808219902523734,N
ZIKA,2016-01-15,H,L,3,1.5587142626393158,4.676142787917947,N
ZIKA,2016-01-19,L,H,2,-0.3101383697813098,-0.6202767395626196,N
ZIKA,2016-01-20,H,H,4,1.052966647631104,4.211866590524416,N
ZIKA,2016-01-21,H,H,4,-0.6788759077991924,-2.7155036311967695,N
ZIKA,2016-01-22,L,L,1,-0.38150055635033375,-0.38150055635033375,N
ZIKA,2016-01-25,L,H,2,0.5425251489556526,1.0850502979113053,N
ZIKA,2016-01-26,L,L,1,0.04761545899736319,0.04761545899736319,N
ZIKA,2016-01-27,L,H,2,-0.023793622719014973,-0.047587245438029946,N
ZIKA,2016-01-28,L,L,1,0.14280047260291084,0.14280047260291084,N
ZIKA,2016-01-29,H,L,3,0.8476590149490981,2.5429770448472944,N
ZIKA,2016-02-01,L,L,1,-0.4948978673629867,-0.4948978673629867,N
ZIKA,2016-02-02,H,L,3,1.855219102474459,5.565657307423377,N
ZIKA,2016-02-03,H,L,3,-0.8293341860383219,-2.4880025581149656,N
ZIKA,2016-02-04,L,L,1,0.4845721098375666,0.4845721098375666,N
ZIKA,2016-02-05,L,L,1,0.11666328990709296,0.11666328990709296,N
ZIKA,2016-02-08,H,H,4,2.151960828527333,8.607843314109331,N
ZIKA,2016-02-09,L,L,1,0.1064719710064832,0.1064719710064832,N
ZIKA,2016-02-10,H,L,3,0.8812489219307995,2.6437467657923985,N
ZIKA,2016-02-11,H,H,4,0.7003600037843283,2.801440015137313,N
ZIKA,2016-02-12,H,H,4,-1.6601861975756305,-6.640744790302522,N
ZIKA,2016-02-16,H,L,3,-1.05703346007604,-3.17110038022812,N
ZIKA,2016-02-17,L,L,1,-0.614866646569312,-0.614866646569312,N
ZIKA,2016-02-18,H,L,3,1.229600204618353,3.688800613855059,N
ZIKA,2016-02-19,L,L,1,0.08403438123916196,0.08403438123916196,N
ZIKA,2016-02-22,L,H,2,-0.05342569473421044,-0.10685138946842088,N
ZIKA,2016-02-23,L,H,2,0.40476477157835866,0.8095295431567173,N
ZIKA,2016-02-24,L,L,1,-0.1977591831006209,-0.1977591831006209,N
ZIKA,2016-02-25,L,L,1,0.3581937161240889,0.3581937161240889,N
ZIKA,2016-02-26,H,H,4,-0.9644509929461975,-3.85780397178479,N
ZIKA,2016-02-29,L,L,1,0.4370768978735562,0.4370768978735562,N
ZIKA,2016-03-01,H,H,4,-1.9468644662349877,-7.787457864939951,N
ZIKA,2016-03-02,L,H,2,0.41268708937796106,0.8253741787559221,N
ZIKA,2016-03-03,L,L,1,0.36444321843125405,0.36444321843125405,N
ZIKA,2016-03-04,H,H,4,-0.6412632657717854,-2.5650530630871415,N
ZIKA,2016-03-07,L,H,2,-0.031110418455193578,-0.062220836910387156,N
ZIKA,2016-03-08,H,L,3,1.1045410875006434,3.31362326250193,N
ZIKA,2016-03-09,L,L,1,-0.6077812158110873,-0.6077812158110873,N
ZIKA,2016-03-10,L,H,2,-0.41024691678538394,-0.8204938335707679,N
ZIKA,2016-03-11,H,L,3,-1.0104173477252676,-3.0312520431758028,N
ZIKA,2016-03-14,L,H,2,0.3140711344686631,0.6281422689373262,N
ZIKA,2016-03-15,L,L,1,0.09392219640071975,0.09392219640071975,N
ZIKA,2016-03-16,L,H,2,0.29715202448745703,0.5943040489749141,N
ZIKA,2016-03-17,L,L,1,0.4132215972719955,0.4132215972719955,N
ZIKA,2016-03-18,L,L,1,0.20964749955381112,0.20964749955381112,N
ZIKA,2016-03-21,H,L,3,-0.7670781150949657,-2.301234345284897,N
ZIKA,2016-03-22,L,L,1,-0.0234356198637653,-0.0234356198637653,N
ZIKA,2016-03-23,H,H,4,1.1324680406691545,4.529872162676618,N
ZIKA,2016-03-24,L,H,2,0.03860375169495445,0.0772075033899089,N
ZIKA,2016-03-28,L,L,1,0.13124441036524992,0.13124441036524992,N
ZIKA,2016-03-29,H,H,4,1.0484927350285167,4.193970940114067,N
ZIKA,2016-03-30,H,L,3,-1.0528762693970184,-3.158628808191055,N
ZIKA,2016-03-31,H,L,3,0.7093831334816558,2.1281494004449675,N
