,sentiment,totalScores,positive,negative
2017-12-20 00:00:00,-0.008065827338129496,1668,0.75,0.25
2017-12-21 00:00:00,-0.015344091279543602,1227,0.71,0.29
2017-12-22 00:00:00,-0.013560399159663864,952,0.71,0.29
2017-12-23 00:00:00,0.05101848341232228,211,0.83,0.17
2017-12-24 00:00:00,0.025927131782945735,129,0.82,0.18
2017-12-25 00:00:00,0.11435931034482759,145,0.89,0.11
2017-12-26 00:00:00,-0.01677363770250368,679,0.72,0.28
2017-12-27 00:00:00,0.014717927823050057,859,0.74,0.26
2017-12-28 00:00:00,-0.0013915816326530613,784,0.75,0.25
2017-12-29 00:00:00,-0.026624907885040534,1357,0.69,0.31
2017-12-30 00:00:00,-0.015952029520295206,271,0.75,0.25
2017-12-31 00:00:00,-0.006983766233766233,154,0.79,0.21
2018-01-01 00:00:00,0.021215584415584413,308,0.79,0.21
2018-01-02 00:00:00,0.062344675324675324,1155,0.75,0.25
2018-01-03 00:00:00,0.07462849162011173,1432,0.77,0.23
2018-01-04 00:00:00,0.07614946164199193,1486,0.77,0.23
2018-01-05 00:00:00,0.08064940923737916,1862,0.78,0.22
2018-01-06 00:00:00,0.10583148688046647,343,0.84,0.16
2018-01-07 00:00:00,0.07131684210526316,380,0.82,0.18
2018-01-08 00:00:00,0.08515748829953197,1282,0.79,0.21
2018-01-09 00:00:00,0.04525536038764385,1651,0.73,0.27
2018-01-10 00:00:00,0.029018774373259056,1795,0.71,0.29
2018-01-11 00:00:00,0.05306824644549763,1688,0.76,0.24
2018-01-12 00:00:00,0.05339600399600399,2002,0.77,0.23
2018-01-13 00:00:00,0.028651183431952665,338,0.82,0.18
2018-01-14 00:00:00,0.09154119601328903,301,0.84,0.16
2018-01-15 00:00:00,0.051964788732394365,497,0.78,0.22
2018-01-16 00:00:00,0.024665827612509534,2622,0.72,0.28
2018-01-17 00:00:00,0.03520362225097025,2319,0.73,0.27
2018-01-18 00:00:00,0.039318918918918914,1850,0.74,0.26
2018-01-19 00:00:00,0.04350022192632046,2253,0.77,0.23
2018-01-20 00:00:00,0.021663313609467452,845,0.79,0.21
2018-01-21 00:00:00,0.002710731707317073,820,0.77,0.23
2018-01-22 00:00:00,0.03857090980085904,2561,0.74,0.26
2018-01-23 00:00:00,0.06056589861751152,2170,0.77,0.23
2018-01-24 00:00:00,-0.004641466420209489,3246,0.69,0.31
2018-01-25 00:00:00,-0.0022574324324324325,2368,0.71,0.29
2018-01-26 00:00:00,0.08099992486851991,2662,0.78,0.22
2018-01-27 00:00:00,0.06706580796252927,427,0.8,0.2
2018-01-28 00:00:00,0.08883172588832487,394,0.81,0.19
2018-01-29 00:00:00,0.034806390977443605,266,0.75,0.25
2018-01-30 00:00:00,0.03129842814371258,2672,0.72,0.28
2018-01-31 00:00:00,0.008129706744868036,3410,0.77,0.23
2018-02-01 00:00:00,-0.019446449588073754,2549,0.72,0.28
2018-02-02 00:00:00,-0.02408503847894975,4418,0.7,0.3
2018-02-03 00:00:00,-0.048927083333333336,768,0.68,0.32
2018-02-04 00:00:00,-0.03887910614525139,895,0.72,0.28
2018-02-05 00:00:00,-0.015529451503940807,6217,0.71,0.29
2018-02-06 00:00:00,-0.008474724467303452,6805,0.71,0.29
2018-02-07 00:00:00,-0.026843191800878477,4098,0.7,0.3
2018-02-08 00:00:00,-0.02079748653500898,5013,0.7,0.3
2018-02-09 00:00:00,0.006296451307056752,7383,0.71,0.29
2018-02-10 00:00:00,0.02060965250965251,777,0.75,0.25
2018-02-11 00:00:00,0.04205471698113208,742,0.78,0.22
2018-02-12 00:00:00,0.022651004016064256,4233,0.72,0.28
2018-02-13 00:00:00,0.024025445292620864,3537,0.74,0.26
2018-02-14 00:00:00,0.04756773281114012,4596,0.75,0.25
2018-02-15 00:00:00,0.033456673306772905,4016,0.72,0.28
2018-02-16 00:00:00,0.026711116937598322,3814,0.74,0.26
2018-02-17 00:00:00,0.034224484536082476,388,0.74,0.26
2018-02-18 00:00:00,0.013260769230769232,390,0.79,0.21
2018-02-19 00:00:00,-0.04915549872122762,782,0.7,0.3
2018-02-20 00:00:00,-0.02490143950995406,3265,0.69,0.31
2018-02-21 00:00:00,-0.022079369560103503,4251,0.7,0.3
2018-02-22 00:00:00,-0.049140572427354166,4577,0.67,0.33
2018-02-23 00:00:00,0.02647088910133843,4184,0.72,0.28
2018-02-24 00:00:00,0.07667544642857142,448,0.81,0.19
2018-02-25 00:00:00,-0.0016072834645669291,508,0.77,0.23
2018-02-26 00:00:00,-0.010576463262764632,3212,0.69,0.31
2018-02-27 00:00:00,0.0062234308636149125,4238,0.73,0.27
2018-02-28 00:00:00,-0.010329682997118155,4164,0.71,0.29
2018-03-01 00:00:00,0.003930079378483364,5921,0.72,0.28
2018-03-02 00:00:00,0.006766559226430297,4964,0.72,0.28
2018-03-03 00:00:00,0.019324346405228756,612,0.81,0.19
2018-03-04 00:00:00,-0.02775520833333333,672,0.76,0.24
2018-03-05 00:00:00,0.018308354646206306,3519,0.73,0.27
2018-03-06 00:00:00,0.014838984746186546,3999,0.74,0.26
2018-03-07 00:00:00,-0.004809288079470199,6040,0.72,0.28
2018-03-08 00:00:00,-0.006973878871937124,4326,0.74,0.26
2018-03-09 00:00:00,0.021921875,4064,0.73,0.27
2018-03-10 00:00:00,0.0938201652892562,605,0.81,0.19
