Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2016-09-30,L,H,2,-0.34108114539540546,-0.6821622907908109,L,L,L,N
ZIKA,2016-10-03,L,L,1,-0.2546951628040084,-0.2546951628040084,L,L,L,N
ZIKA,2016-10-04,H,H,4,-3.4711131503351367,-13.884452601340547,L,L,L,N
ZIKA,2016-10-05,L,L,1,-0.1570653868143701,-0.1570653868143701,L,L,L,N
ZIKA,2016-10-06,H,L,3,-0.9273017132580108,-2.7819051397740324,L,L,L,N
ZIKA,2016-10-07,L,L,1,0.06685107581978489,0.06685107581978489,L,L,L,N
ZIKA,2016-10-10,L,H,2,0.35076499667221483,0.7015299933444297,L,L,L,N
ZIKA,2016-10-11,L,L,1,-0.5076572733802465,-0.5076572733802465,L,L,L,N
ZIKA,2016-10-12,L,L,1,0.15892513193831448,0.15892513193831448,L,L,L,N
ZIKA,2016-10-13,L,H,2,0.24219225392003718,0.48438450784007436,L,L,L,N
ZIKA,2016-10-14,L,L,1,-0.5581921232874487,-0.5581921232874487,L,L,L,N
ZIKA,2016-10-17,L,L,1,0.2680956746975882,0.2680956746975882,L,L,L,N
ZIKA,2016-10-18,L,L,1,0.6183138368983876,0.6183138368983876,L,L,L,N
ZIKA,2016-10-19,L,L,1,0.572997019980015,0.572997019980015,L,L,L,N
ZIKA,2016-10-20,L,L,1,-0.30550986454042084,-0.30550986454042084,L,L,L,N
ZIKA,2016-10-21,L,L,1,0.07454364874182051,0.07454364874182051,L,L,L,N
ZIKA,2016-10-24,L,L,1,-0.22345774685993414,-0.22345774685993414,L,L,L,N
ZIKA,2016-10-25,H,L,3,0.75481338345742,2.26444015037226,L,L,L,N
ZIKA,2016-10-26,L,L,1,-0.5598090017303936,-0.5598090017303936,L,L,L,N
ZIKA,2016-10-27,L,L,1,0.18213510901452512,0.18213510901452512,L,L,L,N
ZIKA,2016-10-28,L,H,2,0.4710354438305142,0.9420708876610284,L,L,L,N
ZIKA,2016-10-31,L,L,1,0.29610132758510765,0.29610132758510765,L,L,L,N
ZIKA,2016-11-01,H,H,4,0.6478604125330412,2.5914416501321647,L,L,L,N
ZIKA,2016-11-02,H,L,3,0.7414617271703339,2.2243851815110016,L,L,L,N
ZIKA,2016-11-03,L,L,1,0.5338110686979203,0.5338110686979203,L,L,L,N
ZIKA,2016-11-04,L,L,1,0.07240225086719843,0.07240225086719843,L,L,L,N
ZIKA,2016-11-07,H,L,3,-1.8007854473895413,-5.402356342168623,L,L,L,N
ZIKA,2016-11-08,L,L,1,-0.41752189246792026,-0.41752189246792026,L,L,L,N
ZIKA,2016-11-09,L,H,2,-0.06576866216515542,-0.13153732433031085,L,L,L,N
ZIKA,2016-11-10,H,L,3,-1.4889750162713877,-4.466925048814163,L,L,L,N
ZIKA,2016-11-11,H,L,3,-2.2129453027139867,-6.63883590814196,L,L,L,N
ZIKA,2016-11-14,H,L,3,-0.84542870786386,-2.53628612359158,L,L,L,N
ZIKA,2016-11-15,H,H,4,0.8698664984078341,3.4794659936313366,L,L,L,N
ZIKA,2016-11-16,L,L,1,-0.29884391311021385,-0.29884391311021385,L,L,L,N
ZIKA,2016-11-17,L,H,2,-0.5138297639932343,-1.0276595279864686,L,L,L,N
ZIKA,2016-11-18,H,L,3,-0.878020158010151,-2.634060474030453,L,L,L,N
ZIKA,2016-11-21,L,L,1,0.37342595964522385,0.37342595964522385,L,L,L,N
ZIKA,2016-11-22,L,L,1,-0.03460892828155426,-0.03460892828155426,L,L,L,N
ZIKA,2016-11-23,H,H,4,-1.981998424943754,-7.927993699775016,L,L,L,N
ZIKA,2016-11-25,L,H,2,-0.5651205298013218,-1.1302410596026435,L,L,L,N
ZIKA,2016-11-28,H,L,3,1.0567462831298613,3.170238849389584,L,L,L,N
ZIKA,2016-11-29,L,L,1,-0.46573460986639725,-0.46573460986639725,L,L,L,N
ZIKA,2016-11-30,H,H,4,-1.341923757621366,-5.367695030485464,L,L,L,N
ZIKA,2016-12-01,L,L,1,-0.18791856823265896,-0.18791856823265896,L,L,L,N
ZIKA,2016-12-02,L,L,1,0.5379218169452971,0.5379218169452971,L,L,L,N
ZIKA,2016-12-05,L,L,1,-0.5350437001519825,-0.5350437001519825,L,L,L,N
ZIKA,2016-12-06,L,H,2,-0.09862022504374401,-0.19724045008748803,L,L,L,N
ZIKA,2016-12-07,L,L,1,0.3589715516467695,0.3589715516467695,L,L,L,N
ZIKA,2016-12-08,L,L,1,-0.23249753675227414,-0.23249753675227414,L,L,L,N
ZIKA,2016-12-09,H,H,4,-1.0486672044456302,-4.194668817782521,L,L,L,N
ZIKA,2016-12-12,L,L,1,0.380432964122579,0.380432964122579,L,L,L,N
ZIKA,2016-12-13,L,L,1,-0.33387745894242205,-0.33387745894242205,L,L,L,N
ZIKA,2016-12-14,H,H,4,-1.4667225387067995,-5.866890154827198,L,L,L,N
ZIKA,2016-12-15,H,L,3,-1.3691132708056108,-4.107339812416832,L,L,L,N
ZIKA,2016-12-16,H,L,3,0.6614561453868628,1.9843684361605884,L,L,L,N
ZIKA,2016-12-19,L,H,2,0.4997621332782254,0.9995242665564508,L,L,L,N
ZIKA,2016-12-20,H,L,3,-0.7367115106993838,-2.2101345320981514,L,L,L,N
ZIKA,2016-12-21,L,L,1,0.055661006998231066,0.055661006998231066,L,L,L,N
ZIKA,2016-12-22,L,L,1,-0.2410774268164606,-0.2410774268164606,L,L,L,N
ZIKA,2016-12-23,L,L,1,0.31601822905542587,0.31601822905542587,L,L,L,N
ZIKA,2016-12-27,L,L,1,0.5837098119151118,0.5837098119151118,L,L,L,N
ZIKA,2016-12-28,L,L,1,0.276347646948194,0.276347646948194,L,L,L,N
ZIKA,2016-12-29,H,H,4,1.3136138038433387,5.254455215373355,L,L,L,N
ZIKA,2016-12-30,L,L,1,-0.6165563458468082,-0.6165563458468082,L,L,L,N
