Disease,Date,V_SP500_Close,V_SP500_Volume,SP500_Index_H/L,SP500_Bu/Be,SP500_Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2015-05-26,H,L,3,-1.028192995494015,-3.084578986482045,L,L,L,N
ZIKA,2015-05-27,H,L,3,0.916262712669913,2.748788138009739,L,L,L,N
ZIKA,2015-05-28,L,L,1,-0.12667884792887385,-0.12667884792887385,L,L,L,N
ZIKA,2015-05-29,H,H,4,-0.6318400218786491,-2.5273600875145963,L,L,L,N
ZIKA,2015-06-01,L,L,1,0.20594194714789182,0.20594194714789182,L,L,L,N
ZIKA,2015-06-02,L,L,1,-0.10086516742198182,-0.10086516742198182,L,L,L,N
ZIKA,2015-06-03,L,L,1,0.21188850967008843,0.21188850967008843,L,L,L,N
ZIKA,2015-06-04,H,L,3,-0.8623177094419732,-2.5869531283259195,L,L,L,N
ZIKA,2015-06-05,L,L,1,-0.14361783342240475,-0.14361783342240475,L,L,L,N
ZIKA,2015-06-08,H,L,3,-0.647448669982742,-1.942346009948226,L,L,L,N
ZIKA,2015-06-09,L,L,1,0.04184140664076352,0.04184140664076352,L,L,L,N
ZIKA,2015-06-10,H,L,3,1.2042400788404573,3.6127202365213718,L,L,L,N
ZIKA,2015-06-11,L,L,1,0.1738552156564932,0.1738552156564932,L,L,L,N
ZIKA,2015-06-12,H,L,3,-0.6994300238043261,-2.098290071412978,L,L,L,N
ZIKA,2015-06-15,L,L,1,-0.4622488789987278,-0.4622488789987278,L,L,L,N
ZIKA,2015-06-16,H,L,3,0.5689804886707783,1.706941466012335,L,L,L,N
ZIKA,2015-06-17,L,L,1,0.19796879248576982,0.19796879248576982,L,L,L,N
ZIKA,2015-06-18,H,L,3,0.9902687056045245,2.9708061168135735,L,L,L,N
ZIKA,2015-06-19,L,H,2,-0.5303501725405946,-1.0607003450811892,L,L,L,N
ZIKA,2015-06-22,H,H,4,0.6094815615239835,2.437926246095934,L,L,L,N
ZIKA,2015-06-23,L,L,1,0.06359375368019116,0.06359375368019116,L,L,L,N
ZIKA,2015-06-24,H,L,3,-0.7353356557762925,-2.2060069673288774,L,L,L,N
ZIKA,2015-06-25,L,L,1,-0.2973565148109092,-0.2973565148109092,L,L,L,N
ZIKA,2015-06-26,L,H,2,-0.03900471386237836,-0.07800942772475672,L,L,L,N
ZIKA,2015-06-29,H,L,3,-2.0866147352592623,-6.259844205777787,L,L,L,N
ZIKA,2015-06-30,L,L,1,0.26583853346553443,0.26583853346553443,L,L,L,N
ZIKA,2015-07-01,H,L,3,0.693613040506813,2.080839121520439,L,L,L,N
ZIKA,2015-07-02,L,L,1,-0.03080744384861278,-0.03080744384861278,L,L,L,N
ZIKA,2015-07-06,L,L,1,-0.3861747512976854,-0.3861747512976854,L,L,L,N
ZIKA,2015-07-07,H,L,3,0.6080937373112327,1.8242812119336982,L,L,L,N
ZIKA,2015-07-08,H,L,3,-1.6652733335255188,-4.995820000576556,L,L,L,N
ZIKA,2015-07-09,L,L,1,0.22622002462524549,0.22622002462524549,L,L,L,N
ZIKA,2015-07-10,H,L,3,1.2338456888524973,3.701537066557492,L,L,L,N
ZIKA,2015-07-13,H,L,3,1.1066059269389639,3.3198177808168916,L,L,L,N
ZIKA,2015-07-14,L,L,1,0.4453229186511587,0.4453229186511587,L,L,L,N
ZIKA,2015-07-15,L,L,1,-0.07349628962278754,-0.07349628962278754,L,L,L,N
ZIKA,2015-07-16,H,L,3,0.8014615165606864,2.4043845496820593,L,L,L,N
ZIKA,2015-07-17,L,L,1,0.11062519712468077,0.11062519712468077,L,L,L,N
ZIKA,2015-07-20,L,L,1,0.07711695444458933,0.07711695444458933,L,L,L,N
ZIKA,2015-07-21,L,L,1,-0.42616573007311365,-0.42616573007311365,L,L,L,N
ZIKA,2015-07-22,L,L,1,-0.23876822023300992,-0.23876822023300992,L,L,L,N
ZIKA,2015-07-23,H,L,3,-0.5676040016082129,-1.7028120048246387,L,L,L,N
ZIKA,2015-07-24,H,L,3,-1.07033275456081,-3.2109982636824297,L,L,L,N
ZIKA,2015-07-27,H,L,3,-0.577501021806559,-1.7325030654196771,L,L,L,N
ZIKA,2015-07-28,H,L,3,1.2386102029366963,3.715830608810089,L,L,L,N
ZIKA,2015-07-29,H,L,3,0.7318762689597635,2.1956288068792906,L,L,L,N
ZIKA,2015-07-30,L,L,1,0.002845530383144279,0.002845530383144279,L,L,L,N
