,Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
1105,ZIKA,2016-05-04,L,L,1,-0.6099544616944952,-0.6099544616944952,L,L,L,N
1106,ZIKA,2016-05-05,L,L,1,-0.11455609291021185,-0.11455609291021185,L,L,L,N
1107,ZIKA,2016-05-06,H,L,3,0.9093143278446902,2.7279429835340707,L,L,L,N
1108,ZIKA,2016-05-09,H,L,3,-2.0539032310440075,-6.161709693132023,L,L,L,N
1109,ZIKA,2016-05-10,L,L,1,0.2735192660833885,0.2735192660833885,L,L,L,N
1110,ZIKA,2016-05-11,H,L,3,0.9423044897758803,2.826913469327641,L,L,L,N
1111,ZIKA,2016-05-12,H,L,3,-0.7861111827846878,-2.3583335483540635,L,L,L,N
1112,ZIKA,2016-05-13,L,L,1,0.4539410546734457,0.4539410546734457,L,L,L,N
1113,ZIKA,2016-05-16,L,L,1,0.07394955282187254,0.07394955282187254,L,L,L,N
1114,ZIKA,2016-05-17,L,L,1,0.3448259356775063,0.3448259356775063,L,L,L,N
1115,ZIKA,2016-05-18,H,H,4,-1.734579432706762,-6.938317730827048,L,L,L,N
1116,ZIKA,2016-05-19,L,L,1,-0.19150291742719983,-0.19150291742719983,L,L,L,N
1117,ZIKA,2016-05-20,L,L,1,-0.1334812680366726,-0.1334812680366726,L,L,L,N
1118,ZIKA,2016-05-23,L,L,1,-0.28401637527371015,-0.28401637527371015,L,L,L,N
1119,ZIKA,2016-05-24,H,H,4,-1.734104002661363,-6.936416010645452,L,L,L,N
1120,ZIKA,2016-05-25,L,L,1,-0.2728047671064493,-0.2728047671064493,L,L,L,N
1121,ZIKA,2016-05-26,L,H,2,-0.3419396390338503,-0.6838792780677005,L,L,L,N
1122,ZIKA,2016-05-27,H,H,4,-0.8234679906764852,-3.293871962705941,L,L,L,N
1123,ZIKA,2016-05-31,L,L,1,0.3805526626737832,0.3805526626737832,L,L,L,N
1124,ZIKA,2016-06-01,L,L,1,-0.10339135108375919,-0.10339135108375919,L,L,L,N
1125,ZIKA,2016-06-02,L,H,2,-0.23288252142691368,-0.46576504285382736,L,L,L,N
1126,ZIKA,2016-06-03,H,H,4,2.775135346678237,11.100541386712948,L,L,L,N
1127,ZIKA,2016-06-06,L,L,1,0.033648217538218006,0.033648217538218006,L,L,L,N
1128,ZIKA,2016-06-07,L,H,2,-0.08408846424635685,-0.1681769284927137,L,L,L,N
1129,ZIKA,2016-06-08,H,H,4,1.48123379902374,5.92493519609496,L,L,L,N
1130,ZIKA,2016-06-09,L,L,1,0.5556460349038561,0.5556460349038561,L,L,L,N
1131,ZIKA,2016-06-10,L,L,1,0.4041220618556718,0.4041220618556718,L,L,L,N
1132,ZIKA,2016-06-13,H,L,3,0.7392812672791349,2.2178438018374047,L,L,L,N
1133,ZIKA,2016-06-14,L,L,1,0.10599967470645844,0.10599967470645844,L,L,L,N
1134,ZIKA,2016-06-15,H,L,3,0.7412258876246414,2.223677662873924,L,L,L,N
1135,ZIKA,2016-06-16,H,H,4,-1.0511020375161717,-4.204408150064687,L,L,L,N
1136,ZIKA,2016-06-17,H,L,3,1.2828893924551998,3.8486681773655995,L,L,L,N
1137,ZIKA,2016-06-20,L,L,1,-0.5970133262689803,-0.5970133262689803,L,L,L,N
1138,ZIKA,2016-06-21,H,L,3,-1.9235476172676513,-5.770642851802954,L,L,L,N
1139,ZIKA,2016-06-22,L,H,2,0.04965739985625106,0.09931479971250212,L,L,L,N
1140,ZIKA,2016-06-23,H,L,3,-0.6534334052368362,-1.9603002157105087,L,L,L,N
1141,ZIKA,2016-06-24,H,H,4,4.903837274965972,19.615349099863888,L,L,L,N
1142,ZIKA,2016-06-27,L,L,1,0.5396825396825511,0.5396825396825511,L,L,L,N
1143,ZIKA,2016-06-28,H,L,3,-1.073571203031276,-3.220713609093828,L,L,L,N
1144,ZIKA,2016-06-29,L,L,1,0.4149345675071858,0.4149345675071858,L,L,L,N
1145,ZIKA,2016-06-30,L,L,1,0.5006397171214205,0.5006397171214205,L,L,L,N
1146,ZIKA,2016-07-01,H,L,3,1.5339629830476653,4.601888949142996,L,L,L,N
1147,ZIKA,2016-07-05,H,L,3,0.825478519570777,2.476435558712331,L,L,L,N
1148,ZIKA,2016-07-06,L,L,1,0.5870047069822748,0.5870047069822748,L,L,L,N
1149,ZIKA,2016-07-07,L,L,1,-0.37625049147663736,-0.37625049147663736,L,L,L,N
1150,ZIKA,2016-07-08,L,L,1,0.6012016108678297,0.6012016108678297,L,L,L,N
1151,ZIKA,2016-07-11,H,L,3,-0.9423927078641703,-2.827178123592511,L,L,L,N
1152,ZIKA,2016-07-12,H,H,4,-1.6551868790030677,-6.620747516012271,L,L,L,N
1153,ZIKA,2016-07-13,H,H,4,0.9201769418768935,3.680707767507574,L,L,L,N
1154,ZIKA,2016-07-14,H,H,4,-0.7715125826013969,-3.0860503304055875,L,L,L,N
1155,ZIKA,2016-07-15,L,L,1,-0.3848315340480468,-0.3848315340480468,L,L,L,N
1156,ZIKA,2016-07-18,L,L,1,0.15768291257278744,0.15768291257278744,L,L,L,N
1157,ZIKA,2016-07-19,L,L,1,0.13381454554617367,0.13381454554617367,L,L,L,N
1158,ZIKA,2016-07-20,H,H,4,-1.430705144491029,-5.722820577964116,L,L,L,N
1159,ZIKA,2016-07-21,H,L,3,1.5232506700953108,4.569752010285932,L,L,L,N
1160,ZIKA,2016-07-22,H,L,3,-0.7462725668592518,-2.2388177005777554,L,L,L,N
1161,ZIKA,2016-07-25,H,H,4,-0.6964756738658595,-2.785902695463438,L,L,L,N
1162,ZIKA,2016-07-26,L,L,1,0.4224109315182023,0.4224109315182023,L,L,L,N
1163,ZIKA,2016-07-27,H,H,4,1.6111103174603292,6.444441269841317,L,L,L,N
1164,ZIKA,2016-07-28,L,H,2,-0.28899086377404126,-0.5779817275480825,L,L,L,N
1165,ZIKA,2016-07-29,H,H,4,1.0339902543007984,4.1359610172031935,L,L,L,N
1166,ZIKA,2016-08-01,L,H,2,0.186079242861803,0.372158485723606,L,L,L,N
1167,ZIKA,2016-08-02,H,L,3,0.8125700293099447,2.437710087929834,L,L,L,N
1168,ZIKA,2016-08-03,L,L,1,-0.47594225912513943,-0.47594225912513943,L,L,L,N
1169,ZIKA,2016-08-04,L,L,1,0.1696883996770593,0.1696883996770593,L,L,L,N
1170,ZIKA,2016-08-05,H,H,4,-1.7863956951719162,-7.145582780687665,L,L,L,N
1171,ZIKA,2016-08-08,L,H,2,-0.08624147190336995,-0.1724829438067399,L,L,L,N
1172,ZIKA,2016-08-09,L,L,1,0.4080327933453587,0.4080327933453587,L,L,L,N
1173,ZIKA,2016-08-10,L,L,1,0.4688957523358628,0.4688957523358628,L,L,L,N
1174,ZIKA,2016-08-11,H,H,4,-0.6922837693261408,-2.769135077304563,L,L,L,N
1175,ZIKA,2016-08-12,L,H,2,-0.21147959914591397,-0.42295919829182793,L,L,L,N
1176,ZIKA,2016-08-15,L,H,2,0.345364201799625,0.69072840359925,L,L,L,N
1177,ZIKA,2016-08-16,L,H,2,0.492807430938913,0.985614861877826,L,L,L,N
1178,ZIKA,2016-08-17,L,L,1,0.023350976700009518,0.023350976700009518,L,L,L,N
1179,ZIKA,2016-08-18,L,L,1,0.474708949416347,0.474708949416347,L,L,L,N
1180,ZIKA,2016-08-19,H,L,3,-0.8829680049340372,-2.6489040148021115,L,L,L,N
1181,ZIKA,2016-08-22,L,L,1,-0.14847385990095496,-0.14847385990095496,L,L,L,N
1182,ZIKA,2016-08-23,L,L,1,-0.015649554043273284,-0.015649554043273284,L,L,L,N
1183,ZIKA,2016-08-24,H,H,4,-1.1114636645043308,-4.445854658017323,L,L,L,N
1184,ZIKA,2016-08-25,L,H,2,-0.08706110771129483,-0.17412221542258965,L,L,L,N
1185,ZIKA,2016-08-26,L,H,2,-0.142596843636289,-0.285193687272578,L,L,L,N
1186,ZIKA,2016-08-29,L,H,2,0.1983339897262848,0.3966679794525696,L,L,L,N
1187,ZIKA,2016-08-30,H,H,4,-1.00554550263946,-4.02218201055784,L,L,L,N
1188,ZIKA,2016-08-31,L,L,1,-0.1999520131164667,-0.1999520131164667,L,L,L,N
1189,ZIKA,2016-09-01,L,L,1,0.40872095214554705,0.40872095214554705,L,L,L,N
1190,ZIKA,2016-09-02,H,L,3,1.0216290125179217,3.064887037553765,L,L,L,N
1191,ZIKA,2016-09-06,H,L,3,1.690769534644887,5.072308603934661,L,L,L,N
1192,ZIKA,2016-09-07,L,L,1,-0.34185609204420153,-0.34185609204420153,L,L,L,N
1193,ZIKA,2016-09-08,L,L,1,-0.5301379736450285,-0.5301379736450285,L,L,L,N
1194,ZIKA,2016-09-09,H,L,3,-0.6583556911468169,-1.9750670734404507,L,L,L,N
1195,ZIKA,2016-09-12,L,L,1,-0.12623589743590014,-0.12623589743590014,L,L,L,N
1196,ZIKA,2016-09-13,H,L,3,-0.6635563840289516,-1.9906691520868547,L,L,L,N
1197,ZIKA,2016-09-14,L,L,1,0.3419483101391618,0.3419483101391618,L,L,L,N
1198,ZIKA,2016-09-15,L,H,2,-0.6419377080361444,-1.2838754160722887,L,L,L,N
1199,ZIKA,2016-09-16,L,H,2,-0.24727206874199936,-0.4945441374839987,L,L,L,N
1200,ZIKA,2016-09-19,L,H,2,0.20790181045740042,0.41580362091480083,L,L,L,N
1201,ZIKA,2016-09-20,L,L,1,0.09575646345356681,0.09575646345356681,L,L,L,N
1202,ZIKA,2016-09-21,H,H,4,1.4588607866890868,5.835443146756347,L,L,L,N
1203,ZIKA,2016-09-22,L,L,1,0.23572169959271694,0.23572169959271694,L,L,L,N
1204,ZIKA,2016-09-23,L,H,2,0.06271223641922674,0.12542447283845348,L,L,L,N
1205,ZIKA,2016-09-26,L,L,1,-0.07833842415451153,-0.07833842415451153,L,L,L,N
1206,ZIKA,2016-09-27,H,L,3,-0.7291258158574898,-2.1873774475724694,L,L,L,N
1207,ZIKA,2016-09-28,L,L,1,-0.315907432098228,-0.315907432098228,L,L,L,N
1208,ZIKA,2016-09-29,L,L,1,-0.11884091175058398,-0.11884091175058398,L,L,L,N
1209,ZIKA,2016-09-30,L,H,2,-0.34108114539540546,-0.6821622907908109,L,L,L,N
1210,ZIKA,2016-10-03,L,L,1,-0.2546951628040084,-0.2546951628040084,L,L,L,N
1211,ZIKA,2016-10-04,H,H,4,-3.4711131503351367,-13.884452601340547,L,L,L,N
1212,ZIKA,2016-10-05,L,L,1,-0.1570653868143701,-0.1570653868143701,L,L,L,N
1213,ZIKA,2016-10-06,H,L,3,-0.9273017132580108,-2.7819051397740324,L,L,L,N
1214,ZIKA,2016-10-07,L,L,1,0.06685107581978489,0.06685107581978489,L,L,L,N
1215,ZIKA,2016-10-10,L,H,2,0.35076499667221483,0.7015299933444297,L,L,L,N
1216,ZIKA,2016-10-11,L,L,1,-0.5076572733802465,-0.5076572733802465,L,L,L,N
1217,ZIKA,2016-10-12,L,L,1,0.15892513193831448,0.15892513193831448,L,L,L,N
1218,ZIKA,2016-10-13,L,H,2,0.24219225392003718,0.48438450784007436,L,L,L,N
1219,ZIKA,2016-10-14,L,L,1,-0.5581921232874487,-0.5581921232874487,L,L,L,N
1220,ZIKA,2016-10-17,L,L,1,0.2680956746975882,0.2680956746975882,L,L,L,N
1221,ZIKA,2016-10-18,L,L,1,0.6183138368983876,0.6183138368983876,L,L,L,N
1222,ZIKA,2016-10-19,L,L,1,0.572997019980015,0.572997019980015,L,L,L,N
1223,ZIKA,2016-10-20,L,L,1,-0.30550986454042084,-0.30550986454042084,L,L,L,N
1224,ZIKA,2016-10-21,L,L,1,0.07454364874182051,0.07454364874182051,L,L,L,N
1225,ZIKA,2016-10-24,L,L,1,-0.22345774685993414,-0.22345774685993414,L,L,L,N
1226,ZIKA,2016-10-25,H,L,3,0.75481338345742,2.26444015037226,L,L,L,N
1227,ZIKA,2016-10-26,L,L,1,-0.5598090017303936,-0.5598090017303936,L,L,L,N
1228,ZIKA,2016-10-27,L,L,1,0.18213510901452512,0.18213510901452512,L,L,L,N
1229,ZIKA,2016-10-28,L,H,2,0.4710354438305142,0.9420708876610284,L,L,L,N
1230,ZIKA,2016-10-31,L,L,1,0.29610132758510765,0.29610132758510765,L,L,L,N
1231,ZIKA,2016-11-01,H,H,4,0.6478604125330412,2.5914416501321647,L,L,L,N
1232,ZIKA,2016-11-02,H,L,3,0.7414617271703339,2.2243851815110016,L,L,L,N
1233,ZIKA,2016-11-03,L,L,1,0.5338110686979203,0.5338110686979203,L,L,L,N
1234,ZIKA,2016-11-04,L,L,1,0.07240225086719843,0.07240225086719843,L,L,L,N
1235,ZIKA,2016-11-07,H,L,3,-1.8007854473895413,-5.402356342168623,L,L,L,N
1236,ZIKA,2016-11-08,L,L,1,-0.41752189246792026,-0.41752189246792026,L,L,L,N
1237,ZIKA,2016-11-09,L,H,2,-0.06576866216515542,-0.13153732433031085,L,L,L,N
1238,ZIKA,2016-11-10,H,L,3,-1.4889750162713877,-4.466925048814163,L,L,L,N
1239,ZIKA,2016-11-11,H,L,3,-2.2129453027139867,-6.63883590814196,L,L,L,N
1240,ZIKA,2016-11-14,H,L,3,-0.84542870786386,-2.53628612359158,L,L,L,N
1241,ZIKA,2016-11-15,H,H,4,0.8698664984078341,3.4794659936313366,L,L,L,N
1242,ZIKA,2016-11-16,L,L,1,-0.29884391311021385,-0.29884391311021385,L,L,L,N
1243,ZIKA,2016-11-17,L,H,2,-0.5138297639932343,-1.0276595279864686,L,L,L,N
1244,ZIKA,2016-11-18,H,L,3,-0.878020158010151,-2.634060474030453,L,L,L,N
1245,ZIKA,2016-11-21,L,L,1,0.37342595964522385,0.37342595964522385,L,L,L,N
1246,ZIKA,2016-11-22,L,L,1,-0.03460892828155426,-0.03460892828155426,L,L,L,N
1247,ZIKA,2016-11-23,H,H,4,-1.981998424943754,-7.927993699775016,L,L,L,N
1248,ZIKA,2016-11-25,L,H,2,-0.5651205298013218,-1.1302410596026435,L,L,L,N
1249,ZIKA,2016-11-28,H,L,3,1.0567462831298613,3.170238849389584,L,L,L,N
